scrip,ldcp,open_,high,low,current,change,volume
ASL-MAY,10.48,10.42,10.55,10.25,10.5,-0.03,"150,500"
AKBL-MAYB,44.27,44.26,45.0,43.8,44.3,-0.14,"64,500"
PREMA-JUN,41.54,43.0,45.69,43.0,45.69,4.15,"1,000"
PREMA-MAY,40.82,40.0,44.9,40.0,44.9,4.08,"14,349,000"
ATRL-JUN,554.99,578.0,578.0,578.0,578.0,23.01,"1,000"
ATRL-MAY,560.47,564.99,585.0,552.05,584.0,20.64,"468,500"
AVN-MAY,47.41,47.5,48.1,46.64,47.6,0.2,"683,000"
BOP-JUN,10.05,10.23,10.23,10.0,10.0,-0.05,"2,910,000"
BOP-MAYB,10.00,10.02,10.15,9.92,9.98,-0.03,"5,270,000"
BAFL-MAYB,75.02,74.0,75.1,71.02,73.3,-1.67,"45,500"
CEPB-MAY,22.78,23.54,23.54,23.54,23.54,0.76,500
CHCC-MAY,272.94,274.0,280.0,272.0,272.0,-0.9,"34,500"
CPHL-MAY,78.33,82.5,84.39,81.0,84.0,5.13,"2,820,500"
CNERGY-JUN,7.47,7.5,7.5,7.4,7.4,-0.07,"20,500"
CNERGY-MAY,7.38,7.25,7.5,7.15,7.5,0.03,"4,486,500"
CSAP-MAYB,117.75,117.75,117.75,115.5,116.99,-0.76,"25,500"
DGKC-JUN,142.00,154.0,154.0,154.0,154.0,12.0,"1,000"
DGKC-MAY,151.42,151.99,154.99,147.2,149.25,-3.11,"9,801,500"
DCL-MAY,10.51,10.59,10.9,10.37,10.64,0.09,"4,932,000"
DFML-MAY,32.96,34.78,36.26,34.0,36.26,3.3,"3,297,000"
EFERT-MAYC,179.89,179.0,180.0,178.5,178.5,-1.39,"15,000"
EPCL-MAY,30.00,30.45,30.74,30.3,30.74,0.74,"17,000"
FATIMA-MAYB,83.53,86.0,86.0,86.0,86.0,2.47,500
FCCL-MAY,47.66,48.0,50.1,47.26,48.2,0.47,"16,264,500"
FFC-MAYC,371.16,382.0,382.0,368.0,375.0,3.66,"229,000"
FFL-JUN,14.77,15.0,15.0,15.0,15.0,0.23,"20,000"
FFL-MAY,14.58,14.7,14.93,14.52,14.75,0.21,"3,254,000"
FABL-MAYC,48.15,48.15,48.15,48.15,48.15,,"10,000"
FLYNG-JUN,41.66,45.83,45.83,45.83,45.83,4.17,500
FLYNG-MAY,41.35,43.0,45.49,42.32,45.49,4.14,"1,033,500"
FCEPL-MAYB,94.59,99.0,104.05,98.35,100.5,6.5,"247,500"
GAL-MAY,481.27,484.51,489.0,473.25,478.5,-5.16,"737,500"
GHNI-MAY,710.91,711.01,718.0,691.0,691.0,-15.32,"388,500"
GCIL-MAY,17.53,17.45,19.28,17.45,19.28,1.52,"1,064,500"
GHGL-MAY,31.50,32.5,32.5,32.5,32.5,1.0,"2,500"
GGL-MAY,12.83,12.85,14.1,12.66,13.97,1.09,"2,359,000"
GLAXO-JUNB,382.79,380.0,380.0,380.0,380.0,-2.79,"1,000"
GLAXO-MAYB,380.39,370.0,371.0,368.0,371.0,-9.64,"3,000"
GATM-MAY,23.00,22.69,23.0,22.5,22.98,-0.02,"25,500"
HBL-MAYC,159.42,159.0,160.0,156.0,157.2,-2.37,"143,000"
HUBC-MAY,139.40,139.5,141.49,137.9,139.45,-0.67,"3,000,500"
HUMNL-MAY,12.75,12.9,12.9,12.76,12.76,0.01,"1,000"
IMAGE-MAYB,21.50,22.1,22.1,21.4,21.98,0.48,"32,500"
INIL-MAY,144.00,144.0,145.5,143.01,143.01,-0.99,"8,000"
ISL-MAY,75.59,75.26,75.26,74.15,74.15,-1.18,"18,500"
ILP-MAY,57.35,58.1,58.1,56.93,57.0,-0.35,"76,000"
JSBL-JUN,8.35,8.4,8.75,8.4,8.75,0.4,"20,500"
JSBL-MAY,8.20,8.49,8.49,8.49,8.49,0.29,500
KEL-MAY,4.38,4.36,4.45,4.3,4.34,-0.06,"1,963,000"
KOSM-MAY,5.14,5.34,5.34,5.1,5.21,0.08,"3,435,500"
KAPCO-MAY,31.68,31.4,31.4,31.4,31.4,-0.28,500
LPL-MAY,24.38,24.1,24.19,24.1,24.19,-0.19,"1,000"
LOTCHEM-MAY,18.52,18.7,19.8,18.7,19.3,0.8,"120,500"
LUCK-MAYB,353.46,362.1,363.0,345.0,355.0,-1.53,"1,117,000"
MLCF-MAY,76.23,76.9,77.58,75.01,75.79,-0.44,"9,623,500"
MARI-MAY,655.87,658.0,660.0,650.0,652.0,-4.5,"191,000"
MEBL-JUNB,294.00,287.0,287.0,286.65,286.65,-7.35,"1,000"
MEBL-MAYC,280.00,280.0,285.0,280.0,280.0,,"5,000"
MTL-MAY,592.43,584.0,585.0,584.0,585.0,-7.43,"3,500"
MUGHAL-MAY,66.12,66.99,67.45,66.25,67.3,1.18,"162,000"
NBP-MAYB,88.67,88.0,89.4,87.25,87.75,-1.04,"343,500"
NRL-MAY,195.13,202.0,214.64,193.56,214.64,13.04,"726,000"
NETSOL-MAY,134.33,133.0,138.4,133.0,138.4,3.31,"630,000"
NCPL-MAYB,24.30,24.34,24.49,23.4,23.8,-0.77,"6,500"
NML-MAY,115.00,112.5,114.5,111.5,111.5,-2.84,"39,000"
NPL-MAYB,36.60,36.3,36.3,35.9,35.9,-0.7,"2,000"
OCTOPUS-MAY,46.99,47.0,48.6,46.5,47.5,0.51,"154,000"
OGDC-MAYB,219.63,219.64,219.64,213.0,213.5,-5.77,"3,401,000"
PSO-JUN,393.46,384.44,384.44,384.44,384.44,-9.02,"2,000"
PSO-MAY,388.07,389.0,389.0,379.5,381.98,-7.24,"2,203,500"
PTC-MAY,20.09,20.3,20.8,20.1,20.23,0.08,"940,500"
PACE-MAY,5.24,5.3,5.3,5.16,5.17,-0.06,"337,500"
PAEL-MAY,45.46,45.5,46.75,45.02,46.7,0.91,"4,383,000"
PIBTL-JUN,8.80,8.8,8.8,8.8,8.8,,"110,000"
PIBTL-MAY,8.68,8.7,8.79,8.52,8.64,-0.04,"1,478,500"
POL-JUN,550.78,538.0,538.0,538.0,538.0,-12.78,"5,000"
PPL-JUNB,170.99,171.0,171.0,171.0,171.0,0.01,500
PPL-MAYB,168.30,170.03,173.35,167.51,170.0,2.95,"4,783,000"
PRL-JUN,28.25,30.75,30.99,30.5,30.99,2.74,"17,000"
PRL-MAY,29.71,29.8,31.8,29.1,31.63,1.5,"9,358,500"
PAKRI-MAYB,12.35,12.15,12.55,12.0,12.35,0.06,"313,000"
PABC-MAY,110.00,106.11,106.11,105.5,105.5,-4.5,"1,500"
PIAHCLA-MAY,14.88,15.4,16.37,15.4,16.37,1.49,"7,104,000"
POWER-MAY,15.23,15.25,15.6,14.85,15.24,0.03,"3,177,000"
SAZEW-MAYB,"1,323.91",1315.1,1343.95,1312.0,1320.1,-0.54,"466,500"
SNBL-MAY,16.13,16.3,16.6,16.3,16.6,0.47,"2,000"
SNGP-MAYB,123.59,124.99,124.99,121.26,122.1,-1.48,"2,571,500"
SSGC-MAY,32.72,35.9,35.99,34.5,35.99,3.27,"22,465,500"
SYM-MAY,14.32,14.48,15.22,14.3,15.03,0.67,"954,000"
SYS-JUNB,547.58,547.77,547.77,547.77,547.77,0.19,500
SYS-MAYB,545.00,550.9,550.9,535.0,540.0,-3.77,"8,500"
TGL-MAYB,207.74,209.99,209.99,209.99,209.99,2.25,"1,000"
TELE-MAY,7.01,7.0,7.29,6.95,7.28,0.15,"979,500"
THCCL-MAY,178.01,182.99,185.5,162.0,185.5,5.55,"521,500"
TOMCL-JUN,30.71,31.11,31.11,31.11,31.11,0.4,"2,000"
TOMCL-MAY,30.31,30.36,31.45,30.31,31.43,1.05,"401,500"
SEARL-JUN,84.17,86.0,86.99,86.0,86.99,2.82,"9,000"
SEARL-MAY,82.42,84.0,87.35,82.01,84.3,1.7,"2,697,500"
TPLP-MAY,8.32,8.37,8.57,8.28,8.5,0.15,"1,160,500"
TREET-MAY,19.33,19.4,19.59,19.01,19.55,0.15,"1,042,000"
TRG-MAY,63.61,64.8,67.39,63.51,66.41,3.0,"6,480,000"
UBL-JUNB,504.71,508.0,508.0,505.0,505.0,0.29,"7,000"
UBL-MAYB,498.53,500.0,512.48,490.0,502.0,2.86,"155,000"
UNITY-MAY,26.25,26.25,27.89,26.25,27.45,1.25,"408,000"
WAVES-MAY,7.55,7.67,7.67,7.25,7.35,-0.23,"392,500"
WAVESAPP-MAY,9.08,9.15,9.2,8.93,9.05,-0.08,"110,000"
WTL-MAY,1.27,1.34,1.34,1.26,1.27,,"982,000"
YOUW-MAY,3.60,3.94,3.94,3.6,3.6,,"118,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bal.Glass,8.72,8.56,8.97,8.51,8.84,0.11,"172,893"
Frontier Ceram,26.30,27.88,28.93,27.88,28.93,2.63,"46,688"
Ghani Glass Ltd,31.96,32.0,33.45,31.55,32.85,1.2,"708,031"
Ghani Value GlassXD,46.42,46.17,47.45,46.16,46.77,0.66,"28,749"
GhaniGlobalGlass,8.54,8.57,8.81,8.35,8.79,0.21,"2,588,794"
Karam Ceramics,49.90,54.23,54.23,48.0,48.0,,3
Shabbir Tiles,12.35,12.48,12.48,11.55,12.19,-0.45,"47,422"
Tariq Glass Ind.XD,206.25,208.0,213.8,191.0,204.2,-0.92,"957,749"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Adamjee Ins.,47.01,47.5,47.5,46.0,46.47,-0.52,"117,099"
Adamjee Life Ass.,23.99,23.5,24.4,23.5,24.39,0.41,"23,713"
Ask.Gen.Insur.,31.00,31.09,31.2,30.0,30.2,,356
Askari Life Ass,4.80,4.98,4.98,4.97,4.97,0.18,602
Atlas Ins. Ltd,59.24,59.0,59.0,56.06,58.48,-0.76,"3,715"
Century Ins.,37.19,36.51,39.95,35.5,36.53,-0.76,"17,553"
Cres.Star Ins.,2.61,2.74,2.74,2.48,2.66,,"298,323"
East West Insurance,57.29,60.0,60.0,60.0,60.0,,1
EFU General,116.42,119.95,121.98,117.01,121.5,4.11,"1,501"
EFU Life AssuranceXD,140.87,140.8,141.0,139.01,140.0,-0.89,"4,090"
Habib Ins.,7.67,7.75,7.9,7.58,7.62,-0.02,"236,911"
IGI Holdings,174.19,174.9,174.9,169.25,169.25,-4.94,"6,242"
IGI Life Ins,16.51,16.99,17.3,16.99,17.3,0.49,"1,054"
Jubile Life Ins,134.04,134.98,134.99,133.25,134.84,-0.5,"1,447"
Jubilee Gen.Ins,51.06,50.01,52.8,50.01,52.1,0.72,"196,713"
Pak Gen.Ins.,9.25,9.25,9.25,9.25,9.25,,1
Pak Reinsurance,12.11,12.25,12.49,12.01,12.29,0.12,"426,731"
PICIC Ins.Ltd.,3.09,3.34,3.34,2.91,3.0,-0.13,"701,186"
Premier Ins.,5.25,5.0,5.2,5.0,5.2,-0.05,"3,000"
Reliance Ins.XB,10.19,9.53,10.49,9.53,10.43,0.23,"18,624"
Shaheen Ins.XB,5.30,5.49,5.49,5.07,5.39,0.1,"3,027"
TPL Insurance,8.07,8.47,8.47,8.12,8.39,0.32,"4,057"
TPL Life Insurance,46.80,46.0,51.48,42.2,51.48,4.5,"14,950"
United InsuranceXB,17.10,17.39,17.4,17.01,17.01,-0.06,"19,615"
Universal Ins.,8.83,9.23,9.29,8.8,8.8,0.38,719
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
786 Invest Ltd,7.94,7.94,8.45,7.32,7.8,0.5,"3,348"
AKD Securites,19.94,19.94,19.98,19.2,19.5,-0.44,"64,258"
Arif Habib Limited.,66.95,65.71,69.0,65.5,68.5,0.78,"136,235"
Calcorp Limited,41.26,45.39,45.39,37.49,39.0,0.71,"1,713"
Cyan LimitedXD,28.87,29.0,29.2,28.75,29.0,0.18,"17,232"
Dawood Equities,8.30,8.65,8.79,8.1,8.7,0.4,"2,789"
Dawood Law,217.10,220.0,224.2,220.0,224.2,6.34,212
DH Partners Ltd.XD,33.47,34.4,34.4,32.52,33.67,0.14,"55,140"
Engro Holdings,164.52,164.8,172.2,162.51,172.0,6.03,"8,817,416"
Escorts Bank,6.16,6.0,6.4,6.0,6.4,0.24,"58,204"
F. Nat.Equities,3.08,3.1,3.12,3.02,3.05,-0.03,"623,427"
F.Credit & Inv,7.99,7.41,8.37,7.12,7.16,-0.58,"13,129"
First Dawood Prop,2.21,2.2,2.28,2.16,2.2,0.02,"21,822"
Imperial Limite,17.65,19.25,19.25,18.9,18.9,0.1,352
Intermarket Sec.XD,53.84,53.83,57.88,52.6,57.75,3.24,"139,603"
Invest Bank,1.37,1.33,1.4,1.22,1.32,-0.03,"498,018"
Ist.Capital Sec,1.45,1.38,1.48,1.32,1.4,-0.08,"629,989"
Jah.Sidd. Co.,16.55,16.59,17.0,16.31,16.78,0.23,"159,005"
JahangirSidd(Pref),8.99,8.8,9.45,8.8,9.4,0.24,"1,111"
JS Global Cap.,104.75,109.0,109.0,103.0,104.25,-0.5,"2,505"
JS Investments,22.00,21.5,22.0,21.5,21.61,-0.01,"1,116"
LSE Capital Ltd.,5.05,5.14,5.14,4.5,4.94,-0.14,"30,213"
LSE Fin. Services,19.99,20.95,21.99,20.95,21.99,2.0,"70,233"
LSE Ventures Ltd,10.01,9.58,10.29,9.54,10.09,-0.4,"13,005"
MCB Inv MGT,93.00,93.9,93.9,90.5,93.8,,103
Next Capital,7.83,7.52,7.99,7.26,7.84,-0.01,"10,078"
OLP FinancialXD,38.00,37.99,38.0,37.51,38.0,,"10,476"
Pak Stock Exchange,25.62,25.89,26.2,25.3,25.58,-0.11,"1,895,408"
Pervez Ahmed Co,1.07,1.15,1.15,1.07,1.1,0.01,"195,946"
PIA Holding Company,14.80,16.07,16.28,15.5,16.28,1.48,"8,586,857"
PIA Holding CompanyB,"9,359.63",10295.59,10295.59,10295.59,10295.59,935.96,32
Sec. Inv. BankXD,8.88,8.53,8.8,8.53,8.8,,5
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Crescent Jute,3.10,3.25,3.34,3.08,3.3,0.14,"63,547"
Suhail Jute,78.36,0,0,0,0,,10
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak Gulf LeasingXD,21.43,21.97,21.97,20.01,21.25,-0.09,"1,612"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
